Código,Nombre,Obsoleto,Fabricante,Categoría,Subcategoría,Categoría de precios
100321,YOGUR FRESA S/LACTOSA 125G,False,"KAIKU KM0, S.L.",PRODUCTO FRESCO,YOGURT,
100709,RISOTTO DE BOLETUS (1R) 250GR,False,CASA MAS S.L.,PRODUCTO FRESCO,PLATOS 5 GAMA,
102406,ÑAMING WRAP POLLO & BACON,False,ÑAMING,PRODUCTO FRESCO,BOCADILLO,
102408,BOCADILLO HORNEAR BACON,False,ÑAMING,PRODUCTO FRESCO,BOCADILLO,
102409,BOCADILLO HORNEAR LOMO 160G,False,ÑAMING,PRODUCTO FRESCO,BOCADILLO,
102410,ENSALADA FLORETTE CESAR POLLO,False,ÑAMING,PRODUCTO FRESCO,ENSALADA,
102412,FRUTA CORTADA VARIADA TARRINA 125G,False,ÑAMING,PRODUCTO FRESCO,REFERENCIAS SALUDABLES,
102416,ÑAMING YOGUR ALBARICOQUE,False,ÑAMING,PRODUCTO FRESCO,YOGURT,
102417,ÑAMING YOGUR FRAMBUESA,False,ÑAMING,PRODUCTO FRESCO,YOGURT,
10358,LECHE DE SOJA LIGHT BRICK 1L,False,CALIDAD PASCUAL,BEBIDA FRIA,PET,
10359,VIVESOY BEBIDA DE SOJA,False,CALIDAD PASCUAL,BEBIDA FRIA,ZUMO,
104359,ÑAMING GO! TORTILLA YORK Y QUESO 140G,False,ÑAMING,PRODUCTO FRESCO,SANDWICH,
10458,YOGUR PROBIOTICO DESN C/CEREALES 120G,False,DANONE,PRODUCTO FRESCO,YOGURT,
10470,YOGUR PROBIOTICO NATURAL 125G,False,"KAIKU KM0, S.L.",PRODUCTO FRESCO,YOGURT,
10473,FLAN QUESO 100G,False,"KAIKU KM0, S.L.",PRODUCTO FRESCO,YOGURT,
10500,YOGUR COCO 125G,False,"KAIKU KM0, S.L.",PRODUCTO FRESCO,YOGURT,
10534,YOGUR FRESA 125G,False,"KAIKU KM0, S.L.",PRODUCTO FRESCO,YOGURT,
10557,YOGUR LIMON 125G,False,"KAIKU KM0, S.L.",PRODUCTO FRESCO,YOGURT,
10559,ACTIMEL FRESA x6+2,False,DANONE,BEBIDA SALUDABLE,YOGURT,
10562,ACTIMEL NATURAL,False,DANONE,BEBIDA SALUDABLE,YOGURT,
10584,YOGUR MACEDONIA 125G,False,"KAIKU KM0, S.L.",PRODUCTO FRESCO,YOGURT,
105948,MONSTER ENERGY LATA 50CL,False,COCA COLA,BEBIDA FRIA,BEBIDA ENERGETICA,
105949,MONSTER ABSOLUTE ZERO LATA 50C,False,COCA COLA,BEBIDA FRIA,BEBIDA ENERGETICA,
10602,"YOGUR NATURAL 3,5KG",False,"KAIKU KM0, S.L.",PRODUCTO FRESCO,YOGURT,
10603,YOGUR NATURAL 125G,False,"KAIKU KM0, S.L.",PRODUCTO FRESCO,YOGURT,
10618,YOGUR PLATANO 125G,False,"KAIKU KM0, S.L.",PRODUCTO FRESCO,YOGURT,
106443,VASO PAPEL 192ML,False,HUHTAMAKY,BEBIDA CALIENTE,VASOS,
10645,YOGUR DESNATADO FRESA 125G,False,"KAIKU KM0, S.L.",PRODUCTO FRESCO,YOGURT,
10646,YOGUR DESNATADO LIMON 125G,False,"KAIKU KM0, S.L.",PRODUCTO FRESCO,YOGURT,
10648,YOGUR DESNATADO NATURAL 125G,False,"KAIKU KM0, S.L.",PRODUCTO FRESCO,YOGURT,
106954,CREMA DE CALABAZA,False,IND. ALIMENTARIAS NAVARRA S.A.,PRODUCTO FRESCO,FRUTA-VERDURA Y CREMAS,
10710,ZUMO PIÑA MANZANA UVA 200ml,False,JUVER,BEBIDA FRIA,ZUMO,
10751,ZUMO MANZANA 200ml,False,JUVER,BEBIDA FRIA,ZUMO,
110282,CAFE FORTE TUBE,False,NESPRESSO,SNACK,CAPSULAS,
110283,FINEZZO TUBE 300,False,NESPRESSO,BEBIDA CALIENTE,CAPSULA,
110284,DESCAFEINATO TUBE 300,False,NESPRESSO,BEBIDA CALIENTE,CAPSULA,
110285,CAFE RISTRETTO INTENSO PRO,False,NESPRESSO,SNACK,CAPSULAS,
110706,CHOCO BOM BLANCO,False,GULLON,SNACK,GALLETA,
110707,VITALDAY SANDWICH YOGURT,False,GULLON,SNACK,GALLETA,
111427,GALLETA SURTIDO DELICATESSEN 564G,False,GULLON,SNACK,GALLETA,
111429,ENSALADA DE QUINOA,False,IND. ALIMENTARIAS NAVARRA S.A.,PRODUCTO FRESCO,ENSALADA,
112045,YOGUR NATURAL S/LACTOSA 125G,False,"KAIKU KM0, S.L.",PRODUCTO FRESCO,YOGURT,
112046,YOGUR DESNATADO NATURAL S/LACTOSA 125G,False,"KAIKU KM0, S.L.",PRODUCTO FRESCO,YOGURT,
112047,YOGUR DESNATADO C/FRAMBUESA S/LACT 125G,False,"KAIKU KM0, S.L.",PRODUCTO FRESCO,YOGURT,
114331,LOMO AL AJILLO,False,IND. ALIMENTARIAS NAVARRA S.A.,PRODUCTO FRESCO,PLATOS 5 GAMA,
117948,BOLSITA FRUTA NARANJA PLATANO GALL BEBIBLE 100G,False,HERO,PRODUCTO FRESCO,YOGURT,
117949,BOLSITA FRUTA PLATANO FRESA 100G,False,HERO,PRODUCTO FRESCO,YOGURT,
118086,CAPSULA INTENSO 100 - Compatible Lavazza Blue,False,GIMOKA,BEBIDA CALIENTE,CAPSULA,
118866,ÑAMING CLUB PAN INTEGRAL BACON HUEVO,False,ÑAMING,PRODUCTO FRESCO,SANDWICH GOURMET,
118869,ÑAMING CLUB POLLO MOSTAZA MIEL,False,ÑAMING,PRODUCTO FRESCO,SANDWICH GOURMET,
119162,CAFE GARIBALDI ESPRESSO BAR 1000GR,False,GIMOKA,BEBIDA CALIENTE,CAFÉ,
119163,CAFE GARIBALDI VERSILIA 1000GR,False,GIMOKA,BEBIDA CALIENTE,CAFÉ,
120169,PREPARADO LACTEO FINO 750G,False,"TEYCOVAL 2010,S.L.",BEBIDA CALIENTE,LECHE,
121800,CORNY CHOCOLATE Y COCO,False,"HERO ESPAÑA, S.A.",SNACK,CHOCOLATINA,
121802,CORNY 0%,False,"HERO ESPAÑA, S.A.",SNACK SALUDABLE,GALLETA,
121946,CANELA MOLIDA BOTE GRANDE*,False,BEBIDAS Y MARKETING,BEBIDA CALIENTE,SOLUBLE,
124051,BOOLIES POLOS 65ML,False,"FRIT RAVICH, S. L.",VINIERON SIN CLASIFICAR,,
124506,"KIT KAT DARK 41,5G",False,NESTLE,SNACK,CHOCOLATINA,
124909,LM CROISSANT CHORIZO PAMPLONA,False,SANDWICH LM,PRODUCTO FRESCO,BOCADILLO,
124913,LM CLASICO MIXTO,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
124914,LM CLASICO MIXTO CREMOSO,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
124916,LM CLASICO ATUN CON TOMATE,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
124917,ÑAMING MIXTO CREMOSO,False,ÑAMING,PRODUCTO FRESCO,SANDWICH,
124918,LM CLASICO VEGETAL ESPECIAL,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
