Código,Clase,Marca-Modelo,Categoria,Formato,Canales,Filas,Columnas,Extra,Contenedores,Máquinas,PDVs
C0001,Bebidas Calientes/Preparadas,NECTA - OPERA TOUCH 2 C,,1,36,12,3,0,11,58,54
C0002,Bebidas Calientes/Preparadas,NECTA - OPERA 2 C ,,1,20,10,2,0,11,269,220
C0003,Bebidas Calientes/Preparadas,AZKOYEN - NOVARA 2 C,,1,25,5,5,0,10,15,11
C0004,Bebidas Calientes/Preparadas,AZKOYEN - NOVARA 1 C ,,1,20,4,5,0,10,39,24
C0005,Bebidas Calientes/Preparadas,AZKOYEN - ZENSIA 2 C,,1,30,6,5,0,12,34,30
C0006,Bebidas Calientes/Preparadas,AZKOYEN - ZENSIA 1 C,,1,30,6,5,0,9,70,56
C0007,Bebidas Calientes/Preparadas,BIANCHI - LEI 700 2 C,,1,64,8,8,0,10,8,5
C0008,Bebidas Calientes/Preparadas,BIANCHI - LEI 700 1 C ,,1,30,6,5,0,10,33,21
C0009,Bebidas Calientes/Preparadas,FAS - 500T 2 C,,1,35,7,5,0,10,63,61
C0010,Bebidas Calientes/Preparadas,NECTA - CANTO TOUCH 2 C,,1,48,8,6,0,11,18,10
C0011,Bebidas Calientes/Preparadas,NECTA - CONCERTO LAVAZZA BLUE 2 C,,1,18,2,9,0,9,1,1
C0012,Bebidas Calientes/Preparadas,NECTA - KIKKO MAX,,1,16,8,2,0,9,170,75
C0013,Bebidas Calientes/Preparadas,NECTA - OPERA 1 C,,1,20,10,2,0,10,98,82
C0014,Bebidas Calientes/Preparadas,NECTA - KIKKO,,1,16,8,2,0,8,87,27
C0015,Bebidas Calientes/Preparadas,NECTA - BRIO 3,,1,14,7,2,0,8,17,6
C0016,Bebidas Calientes/Preparadas,FAS - WINNING T 2 C,,1,35,7,5,0,10,65,54
C0017,Bebidas Calientes/Preparadas,AZKOYEN - ZEN,,1,15,3,5,0,8,6,6
C0018,Bebidas Calientes/Preparadas,BIANCHI - BVM 972,,1,24,12,2,0,11,2,2
C0019,Bebidas Calientes/Preparadas,BIANCHI - BVM 931,,1,1,1,1,0,0,2,0
C0020,Bebidas Calientes/Preparadas,BIANCHI - BVM 952,,1,1,1,1,0,0,1,0
C0021,Bebidas Calientes/Preparadas,BIANCHI - BVM 971,,1,1,1,1,0,0,0,0
C0022,Bebidas Calientes/Preparadas,BIANCHI - LEI 600 EASY,,1,24,6,4,0,9,19,13
C0023,Bebidas Calientes/Preparadas,BIANCHI - LEI 600 TOUCH,,1,36,6,6,0,9,10,10
